Введение				
В данном уроке мы поговорим о выдающемся советском поэте и писателе				
Средневековая поэзия					
В Средние века поэзия стала частью ры			царской	кул	ьтуры и романтических
идей. Великие поэты, такие как Данте Алигьери и Жан де Мейон, создали					
"величе
их стр"	"ственные эпические поэмы, в кот
емление к совершенству."		орых описыв	ались прик	лючения героев и
Эпоха	Возрождения				
В эпоху Возрождения поэзия стала более гуманисти				ческой и ф	илософской.
Великие поэты, такие как Уильям Шекспир и Данте Алигьери, создали					
произведения, которые до сих пор считаются шедев				рами мировой литературы.	
Романтизм и модернизм					
"В 19-м и 20-м веках поэзия претерпела значительные изменения. Романтизм
принес с собой новые идеи о природе, любви и свободе, а модернизм воплотил
в себе экспериментальные формы и новые способы выражения. Великие поэты
этого периода, такие как Вильгельм Блюм и Цветаева, открыли новые
горизонты в поэзии."					
Современная	поэзия				
Современная	поэзия	продолжает развиваться и принимает различные формы и			
стили. Сегодня поэты используют разные техники и темы, чтобы выразить свои					
"мысли и чувства. Современная поэзия может быть как традиционной, так и
экспериментальной, и она продолжает вдохновлять и поражать своей красотой
и силой слова."				
Основные жанры	поэзии			
Лирика				
Лирика	– это жанр поэзии, который выражает личные чувства, эмоции и			
"настроение автора. Он часто использует метафоры, образы и ритмические
схемы, чтобы передать глубокие эмоции. Лирические стихи могут быть"				
написаны в различных		формах, таких как стихотворение, элегия, ода или		
сонет.				
Эпос				
Эпос	– это жанр поэзии, который рассказывает о героических приключениях и			
"подвигах. Он часто включает в себя дл
описывает эпические события и легенда"			"инные повествовательные стихи и
рных героев. Примеры эпических"	
произв	едений		включают “Илиаду” и “Оди	ссею” Гомера.
Драма				
Драма	– это жанр поэзии, который представляет собой сценическое			
"произведение, в котором персонажи выражают свои мысли и чувства через речь
и диалог. Драматическая поэзия может быть написана в форме монологов,
диалогов или сцен. Она часто используется для изображения конфликтов и
драматических ситуаций."				
Сатира				
Сатира	– это жанр поэзии, который использует юмор и иронию для критики и			
"высмеивания недостатков и проблем общества. Он часто использует сарказм и
пародию, чтобы вызвать смех и заставить читателей задуматься над
проблемами и недостатками в обществе."				
Элегия				
Элегия	– это жанр поэзии, который выражает грусть и печаль по поводу			
"утраты или смерти. Он часто используется для выражения скорби и памяти о
покойных. Элегические стихи могут быть написаны в различных формах и могут
включать в себя рассказы о любви, потере или ностальгии."				
Ода				
Ода	– это жанр	п	оэзии, который выражает восхищение и почитание чего-либо	
или	кого-либо.	Она часто используется для выражения глубоких чувств и		
"эмоций по поводу природы, искусства, любви или патриотизма. Оды обычно
имеют возвышенный и торжественный стиль и могут быть написаны в различных
формах и размерах."				
Особенности	поэтического	стиля		
Поэтический	стиль – это особый способ выражения мыслей и чувств,			
"характерный для поэзии. Он отличается от прозы своей музыкальностью,
образностью и эмоциональнос
тью. Вот некоторые особенности поэтического"				
стиля:				
Ритм и рифма				
"Поэзия обычно имеет определ
повторение ударных и безуда"		"енный ритм и рифму. Ритм – это упорядоченное
рных слогов, которое создает му
зыкальность и"		
мелодичность	стихотворения. Рифма – это повторение звуков в конце строк,			
что придает стихотворению гармонию и законченность.				
Образность				
Поэзия часто использует образы и метафоры для передачи мыслей и чувств.				
Образы	– это яркие и выразительные описания, которые помогают читателю			
визуализировать и понять то, о чем говорит поэт. Метафоры – это				
использование одного		объекта или явления для описания другого, что		
позволяет передать глубокий смысл и эмоциональную окраску.				
Эмоциональность				
"Поэзия часто выражает глубокие эмоции и чувства. Она может быть написана с
использованием ярких и сильных слов, чтобы вызвать у читателя определенные
эмоции, такие как радость, грусть, страсть или восторг. Поэтический стиль
позволяет поэту выразить свои эмоции и переживания в более интенсивной и"				
эмоциональной	фо	рме, чем проза.		
Использование	ст	ихов и станций		
"Поэзия обычно организована в стихи и станции. Стих – это строка или группа
строк, которые образуют единицу ритма и рифмы. Стихи могут быть разной
длины и иметь различные рифмы. Станция – это группа стихов, которые
образуют логическую и смысловую единицу. Станции могут быть разной длины и
иметь различные структуры."				
Все эти особенности помогают создать уникальный и выразите				льный стиль
поэзии. Они позв		оляют поэту передать свои мысли и чувства в более глубокой		
"и эмоциональной форме, что делает поэзию особенной и привлекательной для
читателей."				
Известные	поэты и их произведения			
Александр	Сергеевич Пушкин			
Александр	Сергеевич Пушкин – один из самых известных и влиятельных русских			
поэтов. Он считается основателем современной русской литературы и его				
произведения	имеют огромное значение для русской культуры. Некоторые из			
"его известных произведений включают “Евгений Онегин”, “Руслан и Людмила” и
“Медный всадник”."				
Уильям	Шекспир			
"Уильям Шекспир – английский поэт и драматург, известный своими трагедиями,
комедиями и сонетами. Его произведения, такие как “Гамлет”, “Ромео и
Джульетта” и “Отелло”, считаются классикой мировой литературы и оказали
огромное влияние на развитие драматургии."				
Джон Китс				
Джон Китс – 	английский поэт эпохи Романтизма. Он известен своими			
лирическими	произведениями, в которых он выражает свои чув			ства и эмоции.
"Некоторые из его известных произведений включают “Я люблю тебя, моя Роза”,
“Ода к весне” и “Ода к грекам”."				
Эмили Дикинсон				
Эмили Дикинсон – американская поэтесса, известная своими интимными и				
эмоциональными	стихами. Ее произведения, такие как “Путеше			ствие внутрь”,
“Надежда – это	штука с перьями” и “Я слышала музыку внутри меня”, отражают			
ее внутренний мир и мысли о жизни и с			мерти.	
Пабло Неруда				
"Пабло Неруда – чилийский поэт, дипломат и политик. Он известен своими
стихами о любви, природе и социальной справедливости. Некоторые из его"				
известных произведений		включают “20 поэм о любви и отчаянии”, “Ода к		
артишоку” и “Песня отчаяния”.				
"Это только некоторые из известных поэтов и их произведений. Мир поэзии
богат и разнообразен, и каждый поэт имеет свой уникальный стиль и вклад в"				
литера	туру.			
Роль п	оэта в обществе			
Поэты	играют	важную роль в обществе, они являются голосом народа и		
источником вдохновения для многих людей. Вот несколько асп				ектов роли поэта
в обществе:				
Изображение и отражение общественной реальности				
Поэты часто используют свои стихи, чтобы отразить и изобра				зить
"общественную
политические"	"реальность. Они могут описывать социальные проблемы,
события, неравенство, несправедливость и другие аспекты"			
"жизни. Поэтические произведения могут вызывать эмоции, осознание и
побуждать людей к размышлениям и действиям."				
Выражение эмоций и чувств				
"Поэты могут выражать эмоции и чувства через свои стихи. Они могут
описывать любовь, горе, радость, страх, надежду и другие эмоции, которые
переживает человек. Поэтические произведения могут помочь людям понять и
осознать свои эмоции, а также поделиться ими с другими."				
Вдохно	вение	и мотивация		
Поэты	могут	быть	источником	вдохновения и мотивации для людей. Их стихи
могут	вдохновить	на новые идеи, мечты и цели. Они могут помочь людям найти		
смысл и ценность в жизни, а также побудить к действию и изменениям.				
Сохран	ение культурного наследия			
Поэты	играют	важную роль в сохранении культурного наследия. Они могут		
использовать	свои стихи, чтобы передать и сохранить исторические события,			
"традиции, обычаи и ценности своего народа. Поэтические произведения могут
стать частью литературного наследия и помочь сохранить и передать его
будущим поколениям."				
Преображение	языка и формы			
"Поэты могут использовать свои стихи, чтобы преобразовать язык и форму. Они
могут играть с ритмом, звуками, метафорами и другими литературными
приемами, чтобы создать уникальные и оригинальные произведения."				
Поэтический стиль может быть экспериментальным и			инновационным, что	
помогает развивать и обогащать литературу.				
"В целом, роль поэта в обществе заключается в том, чтобы быть голосом
народа, выражать эмоции и чувства, вдохновлять и мотивировать, сохранять
культурное наследие и преображать язык и форму. Поэты играют важную роль в"				
формировании	и развитии общества, и их творчество имеет значительное			
влияние на людей и культуру в целом.				
Как стать поэтом?				
"Стать поэтом – это увлекательное и творческое приключение. Вот несколько
шагов, которые помогут вам начать свой путь в мир поэзии:"				
Читайте поэзию				
Чтение поэзии – это первый и самый важный шаг на пути к ст			ановлению	
"поэтом. Изучайте работы известных поэтов, разных жанров и стилей. Чтение
поможет вам понять, как поэты играют с языком, используют ритм и метафоры,
передают эмоции и идеи."				
Пишите свои стихи				
Начните писать свои собственные стихи. Не бойтесь экспериментировать с				
языком, формой и темами. Пишите о своих чувствах, наблюден			иях,	
впечатлениях. Постепенно развивайте свой собственный стиль и голос.				
Изучайте литературу и поэтические техники				
"Чтение книг о литературе и поэтических техниках поможет вам лучше понять
основы поэзии. Изучайте различные стили и жанры, анализируйте
стихотворения, чтобы понять, как они построены и какие техники
использованы."				
Получайте обратную связь				
"Показывайте свои стихи другим людям и получайте обратную связь. Участвуйте
в литературных кружках, конкурсах или просто дайте свои стихи прочитать
друзьям или семье. Обратная связь поможет вам расти и развиваться как
поэт."				
Не бойтесь экспериментировать				
"Не бойтесь экспериментировать с языком, формой и стилем. Поэзия – это
свободное и творческое искусство, поэтому не ограничивайте себя рамками."				
"Попробуйте новые жанры, играйте с ритмом и звуками слов, используйте
необычные метафоры и образы."	
"Старайтесь писать регулярно, развивайте свои навыки и не бойтесь выражать
себя через поэзию. Помните, что каждый поэт уникален, и ваш голос имеет
значение. Удачи в вашем творческом путешествии!"	
Таблица сравнения поэтов	
Поэт	
Жанры	
Известные произведения	
Особенности стиля	
Александр Пушкин	
Лирика, эпос, драма	
«Евгений Онегин», «Руслан и Людмила», «Медный всадник»	
"Ясный и эмоциональный язык, глубокая эмоциональность, романтические мотивы
Сергей Есенин"	
Лирика, поэма, поэзия в прозе	
«Анна Снегина», «Письма к матери», «Подруга»	
"Простой и доступный язык, образность, свободный стих, трагические мотивы
Марина Цветаева"	
Лирика, поэма, драма	
«Поэма без героя», «Реквием», «Песнь о Варваре»	
"Сложный и метафоричный язык, эксперименты со структурой стиха,
эмоциональная интенсивность"	
Заключение	
"Поэт – это творческая личность, которая выражает свои мысли и чувства
через поэзию. История поэзии насчитывает тысячелетия, и она является одним
из самых древних и значимых искусств. В поэзии существуют различные жанры,
каждый из которых имеет свои особенности и правила. Поэтический стиль
отличается от прозы своей метафоричностью, ритмом и звучностью. Многие
великие поэты оставили свой след в истории литературы, и их произведения
до сих пор вдохновляют и трогают сердца людей. Роль поэта в обществе"	
заключается в том, чтобы отражать и к	омментировать социальные,
"политические и эмоциональные аспекты жизни. Если вы мечтаете стать поэтом,
вам нужно развивать свою творческую м
ысль, изучать литературу и"	
"практиковаться в написании стихов. Помните, что поэзия – это способ
выразить свою индивидуальность и поделиться своими мыслями с миром."	
Введение	
В данном уроке мы будем изучать концепцию любви в творчестве английских	
поэтов	метафизиков. Английские поэты метафизики – это группа поэтов,
живших в 17 веке, которые отличались своим сложным и философским стилем.	
Они обращались к таким темам, как любовь, религия и смерть, и исследовали	
их с помощью	метафор и аллегорий. В этом уроке мы рассмотрим концепцию
"любви в поэзии Джона Данна и Андрю Марвелла, сравним их подходы и выявим
основные черты метафизической поэзии."	
Концепция любви в творчестве английских поэтов метафизиков	
"Английские поэты метафизиков, такие как Джон Данн и Андрю Марвелл,
известны своими сложными и глубокими рассуждениями о любви. Они
исследовали не только эмоциональную и физическую стороны любви, но и ее
метафизические и философские аспекты."	
"Концепция любви в творчестве метафизиков отличается от традиционного
представления о любви. Они не описывают ее как простую эмоцию или чувство,
а рассматривают ее как сложное и глубокое явление, связанное с духовностью
и метафизикой."	
Метафизики рассматривают любовь как нечто, что превосходит обычные			
человеческие	ощу	щения и привязанности. Они исследуют ее в контексте	
"божественного и трансцендентного. Любовь для них становится способом
достижения высшей истины и слияния с божественным."			
Они также обращают внимание на противоречия и сл			ожности, сопутствующие
"любви. Они исследуют темы временности и смерти, страсти и разлуки,
верности и измены. Они пытаются понять, как любовь может существовать в
мире, где все временно и изменчиво."			
Метафизики используют сложные метафоры и образы, чтобы пер			едать свои идеи
"о любви. Они часто используют аллегории и сравнения, чтобы описать ее
сложность и глубину. Их поэзия полна интеллектуальных игр слов и
абстрактных концепций, что делает ее сложной для понимания, но"			
одновр		еменно и уникальной и привлекат	ельной.
Таким		образом, концепция любви в твор	честве английских поэтов метафизиков
отлича		ется от традиционного представл	ения о любви. Они исследуют ее
метафизические и	философские аспекты, рассматривая ее как способ		
"достижения высшей истины и слияния с божественным. Их поэзия полна сложных
метафор и образов, что делает ее уникальной и привлекательной для
изучения."			
Основные представители английских поэтов метафизиков			
"Английские поэты метафизиков – это группа поэтов, активно творивших в 17 
веке. Они получили свое название благодаря своему особым стилю и
содержанию своих произведений. Основными представителями этого направления
являются Джон Данн и Андрю Марвелл."			
Джон Данн			
Джон Данн (1572-1631) – один из наиболее известных и влиятельных поэтов			
метафизиков. Его поэзия отл		ичается сложными мета	форами, интеллектуальным
подходом и философскими раз		мышлениями. Он часто обращается к темам любви,	
смерти, религии и времени. В его произведениях он исследует сложные			
эмоциональные	и духовные аспекты человеческой жи		зни.
Андрю Марвелл			
Андрю Марвелл	(1621-1678) – еще один из важных представителей английских		
"поэтов метафизиков. Его поэзия отличается остроу
и сочетанием реалистических и фантастических эле"			"мием, интеллектуальностью
ментов. Он также"
"обращается к темам любви, религии и политики. В его произведениях он часто
использует сатиру и иронию для выражения своих мыслей и идей."			
"Оба поэта в своих произведе
языком и структурой стихотв"		"ниях используют сложные метафоры, играют с
орений. Они исследуют сложные философские и"	
метафизические темы, такие как природа времени, смерть, любовь и религия.			
"Их поэзия отличается оригинальностью и глубиной мысли, что делает их
важными представителями английской литературы."			
Характеристика	метафизической поэзии		
Метафизическая	поэзия – это	направление в англий	ской литературе, которое
"возникло в 17 веке и было представлено группой поэтов, известных как
метафизики. Это название было дано им позднее, и оно отражает особенности"			
их поэтического стиля и сод		ержания.	
Основной характеристикой ме		тафизической поэзии является использование	
"сложных метафор и образов, которые помогают выразить сложные и абстрактные
идеи. Поэты метафизиков часто используют неожиданные и нестандартные
сравнения, чтобы передать свои мысли и эмоции. Они играют с языком и"			
структурой стихо	творений, создавая необычные и оригинальные произведения.		
Еще одной характ	еристикой	метафизической поэзии является философская	
направленность. Поэты этого направления исследуют сложные философские и			
метафизические темы, такие как природа времени, смерть, лю			бовь и религия.
Они за	дают глубокие вопросы о смысле жизни и пытаются найти ответы на них			
через	свои произведения.			
Метафи	зическая поэзия также отличается отличительным стилем и ритмом.			
"Поэты метафизиков часто используют сложные и необычные ритмические схемы,
такие как трехстопный ямб и трехстопный анапест, чтобы создать особую
музыкальность и ритмичность своих стихотворений."				
"В целом, метафизическая поэзия является уникальным и оригинальным
направлением в английской литературе. Она отличается сложными метафорами,
философским соде
ржанием
и о
собым стилем и ритмом. Произведения метафизиков"				
оставили	значите	льный след	в истории литературы и продолжают вдохновлять и	
удивлять		читателей по сей д	ень.	
Концепция любви в поэзии Джона Данна				
"Джон Данн, английский поэт эпохи метафизики, известен своими глубокими и
философскими рассуждениями о любви. В его стихотворениях он исследует
различные аспекты и измерения этого сложного и многогранным чувства."				
Одной из ключевых концепций любви в п			оэзии Данна является идея о том, что	
любовь может преодолеть пространство и время. В его стихах мы видим, как				
он описывает	любовь, которая преодолевает рассто		яния и связывает людей,	
"находящихся на разных концах земли. Он говорит о том, что любовь может
быть настолько сильной, что она может преодолеть даже смерть и продолжать"				
существовать	после смерти.			
Данн также исследует идею о том, что любовь может быть источником				
духовного просветления	и возрождения. Он говорит о том, что через любовь			
мы можем достичь высшего состояния сознания и познать истину о мире и				
себе. Любовь для Данна – это не только эмоциональное состо				яние, но и путь
к духовному просветлению		и пониманию.		
"Еще одной важной концепцией любви в поэзии Данна является идея о том, что
любовь может быть источником страдания и боли. Он описывает любовь как
нечто, что может причинить боль и страдание, но в то же время она является"				
неотъемлемой	частью человеч	еского опыта. Данн говорит о том, что любовь		
"может быть сложной и против
неотъемлемой
частью нашей ж"		"оречивой, но она все равно является
изни."		
В целом, концепция любви в поэзии Джона Данна яв			ляется сложной и	
многог	ранным. Он исследует различные аспекты этого чувства, от преодоления			
простр	анства	и в	ремени до д	уховного просветления и страдания. Его стихи о
любви остаются а	ктуальными	и вдохновл	яющими до сегодняшнего дня.	
Концепция любви в поэзии Андрю Марвелла				
Андрей	Марвелл, английский поэт эпохи метафизики, также исследовал			
концепцию любви в своих стихотворениях. Он представляет лю				бовь как сильное
и мощное чувство, которое может преодолеть любые преграды и ограничения.				
"В его поэзии любовь часто представлена как связующая сила между людьми,
способная преодолеть пространство и время. В стихотворении “To His Coy 
Mistress” Марвелл говорит о том, что если бы у них было бесконечно"				
времени, он мог бы постепенно покорять свою возл			юбленную. Он описывает,	
"как они могли бы прогуливаться по берегу реки и наслаждаться друг другом
вечно. Однако, так как времени ограничено, он призывает ее не терять время"				
и насладиться лю	бовью здесь и сейчас.			
Марвелл также ис	следует тему смерти и ее влияние на любовь. В			
стихотворении “T	he Definition of Love” он говорит о том, что любовь может			
"преодолеть даже смерть. Он описывает, как два влюбленных могут продолжать
любить друг друга даже после смерти, их души будут связаны навсегда. Это
показывает, что любовь для Марвелла является более глубоким и духовным
чувством, которое превосходит физические ограничения."				
Кроме того, Марвелл часто использует образы природы, чтобы передать свою			
"концепцию любви. В стихотво
символизирует любовь и благ"		"рении “The Garden” он описывает сад, который
ополучие. Он говорит о том, что любовь может"	
"превратить обычное место в райскую сферу, где два влюбленных могут
наслаждаться друг другом и природой."			
"В целом, концепция любви в поэзии Андрея Марвелла является глубокой и
эмоциональной. Он исследует различные аспекты этого чувства, от
преодоления времени и смерти до связи с природой. Его стихи о любви
оставляют читателя сильными эмоциями и впечатлениями."			
Сравнение и сопоставление концепций л		юбви в творчестве Данна и Марвелла	
Творчество Джона Данна и Андрея Марвелла представляет собой две разные			
концепции	любви, которые имеют свои с	ходства и различия.	
Сходства:			
Оба поэта исследуют тему любви и ее в		лияние на человека. Они обращаются к	
"эмоциональным и философским аспектам этого чувства, пытаясь понять его
сущность и значение."			
"Кроме того, оба поэта используют мета
идеи о любви. Они описывают ее как си"		"форы и образы, чтобы передать свои
льную и могущественную силу,"	
способную	изменить мир и пр	еодолеть преграды.	
Различия:			
Однако, у Данна и Марвелла есть и раз		личия в их концепциях любви.	
Данн исследует любовь как духовный опыт, связанный с религиозными и			
философскими	идеями. Он гов	орит о любви как о способе достичь единения с	
Богом и преодолеть смерть. Данн видит любовь как высшую форму			
существования и пытается по		нять ее глубину и значимость.	
С другой стороны, Марвелл и		сследует любовь как чувственный опыт, связанный	
"с природой и человеческими страстями. Он описывает любовь как сильное
чувство, способное преобразить обычную жизнь и придать ей смысл. Марвелл"			
подчеркивает	физическую и эмоциональную стороны любви, а также ее связь с		
природой.			
"Таким образом, концепции любви в творчестве Данна и Марвелла имеют свои
особенности и акценты. Данн фокусируется на духовной и религиозной
сущности любви, в то время как Марвелл обращается к ее чувственной и
эмоциональной природе. Оба поэта представляют уникальные и глубокие
взгляды на любовь, которые оставляют сильное впечатление на читателя."			
"Таблица сравнения концепций любви в творчестве Данна и Марвелла
Аспект"			
Джон Данн			
Андрю Марвелл			
Понимание любви			
Любовь как духовное и физическое объе		динение двух людей	
Любовь как идеальное состояние, свобо		дное от времени и пространства	
Изображение любви			
Чувственные и эмоциональные описания любовных отношений			
Аллего	рические и метафорические образы, связанные с природой и мифологией		
Роль в	ремени		
"Время как препятствие для любви, но также как средство для ее усиления
Время как несущественный фактор, не влияющий на идеальность любви
Философский подход"			
Размышления о смерти, бессмертии и религиозных а			спектах любви
Размышления о природе времени, свободе воли и су			дьбе
Заключение			
В заключение можно сказать, что концепция любви в творчестве английских			
поэтов	метафизиков, таких как Джон Данн и Андрю Марвелл, имеет свои		
особенности. Оба поэта исследуют тему любви с помощью сложных метафор и					
"философских
физическому"	"размышлений. Данн подходит к любви как к духовному и
объединению двух людей, в то время как Марвелл рассматривает"				
"любовь как средство для достижения бессмертия. Несмотря на различия в их
подходах, оба поэта показывают, что любовь является сложным и многогранным
понятием, которое может быть источником радости и страдания."					
Введение					
Добро пожаловать на урок литературы! Сегодня мы будем говорить о					
лироэп	ических произведениях. Но что это такое? Лироэпические произведения				
"– это особый жанр литературы, который сочетает в себе черты лирики и
эпоса. Они рассказывают о событиях и приключениях, но делают это с помощью"					
поэтического	языка и выражения личных чувств и эмоций автора. В таких				
"произведениях мы можем встретить описания природы, рассуждения о жизни и
любви, а также героические поступки и исторические события. Лироэпические"					
произведения	играют важную роль в литературе, они помогают нам понять и				
оценить мир вокруг нас, а также вдохновляют на размышления и саморазвитие.					
Давайте же начнем наше погружение в мир лироэпических произведений!					
Характеристики л	ироэпических произведений				
Лироэпические пр	оизведения – это литературные произведения, которые				
сочетают в себе черты лирики и эпоса. Они объединяют в себе					
эмоциональность и	интимность лирики с повествовательностью и эпическими				
элементами.					
Основные характеристики лироэпических произведений:					
Сочетание лирических и эпических элементов					
"Лироэпические произведения объединяют в себе эмоциональность и интимность
лирики с повествовательностью и эпическими элементами. Они могут содержать"					
как ли		рические отступления и рассужде		ния, так и повествова	тельные сюжетные
линии.					
Использование	различных жанров и форм				
